rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage 
10 6500m 10.019723982131543 41.08166666666666 32.60000000000001 2.0 2.0 2.0 2.0 2.1 2.0 2.0 2.0 2.1 2.0 2.1 2.1 2.0 2.1 2.0 2.1 564.8916205100669
12 6500m 12.021418103419142 40.60445682451253 38.59999999999999 2.4 2.4 2.4 2.5 2.4 2.4 2.5 2.4 2.4 2.4 2.4 2.4 2.4 2.4 2.4 2.4 562.0315678926174
15 6500m 15.025503206885071 39.7 47.3 3.0 2.9 3.0 2.9 3.0 3.0 3.0 3.0 3.1 2.9 2.9 3.0 2.9 2.9 2.9 2.9 562.5130815570469
18 6500m 18.03158783675249 38.264788732394365 54.59999999999999 3.5 3.4 3.3 3.5 3.4 3.5 3.4 3.3 3.5 3.4 3.4 3.4 3.4 3.4 3.4 3.4 580.897304053691
20 6500m 20.028287351701582 37.3784693019344 60.99999999999998 3.8 3.8 3.8 3.7 3.9 3.8 3.8 3.7 3.9 3.8 3.8 3.9 3.8 3.9 3.8 3.8 583.541230818792
22 6500m 22.031345263595345 35.719418960244646 65.10000000000001 4.0 4.1 4.0 4.0 4.1 4.1 4.0 4.1 4.1 4.1 4.0 4.1 4.2 4.0 4.1 4.1 588.5796956778526
25 6500m 25.030880326183155 34.22444889779559 72.9 4.5 4.5 4.6 4.6 4.6 4.6 4.6 4.6 4.5 4.6 4.5 4.5 4.6 4.6 4.5 4.5 606.1075517852348
27 6500m 27.0345382624725 33.32896379525593 76.69999999999999 4.8 4.8 4.7 4.8 4.9 4.8 4.8 4.8 4.8 4.7 4.8 4.9 4.8 4.8 4.8 4.7 602.2212999731541
30 6500m 30.03668029499337 32.16881660123388 83.20000000000002 5.2 5.2 5.3 5.2 5.2 5.2 5.2 5.1 5.2 5.2 5.2 5.2 5.2 5.2 5.2 5.2 606.1011466308724
32 6500m 32.04041335853716 31.831835007932312 87.7 5.5 5.5 5.5 5.5 5.4 5.5 5.4 5.6 5.5 5.5 5.4 5.5 5.5 5.5 5.4 5.5 607.6727460939595
35 6500m 35.038942349311526 32.58724832214765 95.10000000000002 6.0 5.9 6.0 6.0 6.0 6.0 6.0 5.9 5.9 5.9 5.9 5.9 5.9 6.0 5.9 5.9 627.4461723489935
37 6500m 37.047314427246796 39.79645615629259 98.70000000000002 6.2 6.1 6.2 6.2 6.1 6.2 6.2 6.1 6.2 6.1 6.1 6.2 6.2 6.2 6.2 6.2 649.4090068187919
40 6500m 40.03951621808625 54.30012610340479 98.90000000000002 6.2 6.1 6.2 6.2 6.2 6.2 6.2 6.1 6.1 6.2 6.2 6.2 6.2 6.2 6.2 6.2 743.7051670335571
42 6500m 38.38004795115383 3771.28668261563 99.0 6.2 6.2 6.2 6.1 6.2 6.2 6.3 6.2 6.1 6.2 6.2 6.2 6.2 6.1 6.1 6.3 1006.9980426177369
