rps,cpu_limit,req_rate,req_latency,cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,memory_usage
10.0,8.0,10.0,41.4,26.7,1.7,1.7,1.7,1.6,1.6,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.7,566.6
12.0,8.0,12.0,40.7,31.3,2.0,1.9,2.0,2.0,1.9,2.0,1.9,1.9,2.0,1.9,2.0,1.9,2.0,2.0,1.9,2.0,569.3
15.0,8.0,15.0,39.6,37.9,2.4,2.5,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,586.6
18.0,8.0,18.0,38.2,44.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.8,2.8,2.7,2.9,2.8,2.8,2.8,590.0
20.0,8.0,20.0,36.9,49.8,3.1,3.2,3.1,3.1,3.2,3.2,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.1,3.0,3.1,589.4
22.0,8.0,22.0,35.7,52.9,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.2,3.3,3.3,589.2
25.0,8.0,25.0,34.2,58.9,3.6,3.6,3.7,3.7,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,589.2
27.0,8.0,27.0,33.3,62.9,3.9,3.9,4.0,3.9,3.9,4.0,3.9,4.0,3.9,3.9,4.0,3.9,3.9,3.9,3.9,4.0,590.0
30.0,8.0,30.0,32.2,67.3,4.2,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,590.2
32.0,8.0,32.0,31.1,72.1,4.5,4.6,4.5,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.5,4.5,4.5,4.5,626.4
35.0,8.0,35.0,31.6,77.4,4.8,4.9,4.9,4.8,4.8,4.8,4.8,4.9,4.9,4.8,4.8,4.9,4.8,4.8,4.9,4.8,629.7
37.0,8.0,37.0,32.0,80.9,5.1,5.1,5.0,5.2,5.0,5.0,5.1,5.0,5.1,5.0,5.0,5.0,5.1,5.1,5.1,5.0,644.3
40.0,8.0,40.0,32.4,85.1,5.3,5.3,5.3,5.4,5.3,5.4,5.3,5.3,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,649.3
42.0,8.0,42.0,33.0,89.4,5.6,5.5,5.5,5.6,5.7,5.6,5.6,5.6,5.6,5.5,5.6,5.6,5.7,5.5,5.6,5.6,659.5
45.0,8.0,45.0,33.5,94.0,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.9,5.8,5.9,5.8,5.9,5.9,5.9,5.9,660.8
